algorithm,subject,run_id,fitness_value,students_attending,percentage,execution_time,start_time,end_time,solution_file
SA,INF134,1,33.50000000000001,35,100.0,0.13723206520080566,2026-02-16T16:48:14.440125,2026-02-16T16:48:14.577354,sa_INF134_run_01.csv
SA,INF134,2,33.17666666666666,35,100.0,0.09351086616516113,2026-02-16T16:48:14.577760,2026-02-16T16:48:14.671272,sa_INF134_run_02.csv
SA,INF134,3,33.166666666666664,35,100.0,0.1537489891052246,2026-02-16T16:48:14.671650,2026-02-16T16:48:14.825404,sa_INF134_run_03.csv
SA,INF134,4,32.56333333333333,35,100.0,0.10055088996887207,2026-02-16T16:48:14.825848,2026-02-16T16:48:14.926401,sa_INF134_run_04.csv
SA,INF134,5,32.56333333333333,35,100.0,0.09587621688842773,2026-02-16T16:48:14.926751,2026-02-16T16:48:15.022628,sa_INF134_run_05.csv
SA,INF134,6,33.050000000000004,35,100.0,0.08347201347351074,2026-02-16T16:48:15.022948,2026-02-16T16:48:15.106421,sa_INF134_run_06.csv
SA,INF134,7,32.82333333333334,34,97.14285714285714,0.11067914962768555,2026-02-16T16:48:15.106782,2026-02-16T16:48:15.217462,sa_INF134_run_07.csv
SA,INF134,8,32.66666666666667,34,97.14285714285714,0.09628796577453613,2026-02-16T16:48:15.217843,2026-02-16T16:48:15.314132,sa_INF134_run_08.csv
SA,INF134,9,32.75,35,100.0,0.13207292556762695,2026-02-16T16:48:15.314534,2026-02-16T16:48:15.446608,sa_INF134_run_09.csv
SA,INF134,10,32.6,35,100.0,0.09967303276062012,2026-02-16T16:48:15.448777,2026-02-16T16:48:15.548452,sa_INF134_run_10.csv
SA,INF134,11,33.01666666666667,35,100.0,0.10512375831604004,2026-02-16T16:48:15.548803,2026-02-16T16:48:15.653927,sa_INF134_run_11.csv
SA,INF134,12,31.966666666666665,35,100.0,0.08222007751464844,2026-02-16T16:48:15.654271,2026-02-16T16:48:15.736492,sa_INF134_run_12.csv
SA,INF134,13,33.50000000000001,35,100.0,0.09971380233764648,2026-02-16T16:48:15.736869,2026-02-16T16:48:15.836585,sa_INF134_run_13.csv
SA,INF134,14,31.733333333333334,33,94.28571428571429,0.07632684707641602,2026-02-16T16:48:15.836951,2026-02-16T16:48:15.913281,sa_INF134_run_14.csv
SA,INF134,15,32.82333333333334,34,97.14285714285714,0.08662676811218262,2026-02-16T16:48:15.913656,2026-02-16T16:48:16.000284,sa_INF134_run_15.csv
SA,INF134,16,32.00000000000001,35,100.0,0.0925600528717041,2026-02-16T16:48:16.000627,2026-02-16T16:48:16.093190,sa_INF134_run_16.csv
SA,INF134,17,32.56333333333333,35,100.0,0.07861614227294922,2026-02-16T16:48:16.093609,2026-02-16T16:48:16.172227,sa_INF134_run_17.csv
SA,INF134,18,31.753333333333337,34,97.14285714285714,0.08915996551513672,2026-02-16T16:48:16.172587,2026-02-16T16:48:16.261749,sa_INF134_run_18.csv
SA,INF134,19,32.46666666666666,35,100.0,0.08756279945373535,2026-02-16T16:48:16.262155,2026-02-16T16:48:16.349718,sa_INF134_run_19.csv
SA,INF134,20,33.769999999999996,35,100.0,0.07436180114746094,2026-02-16T16:48:16.350115,2026-02-16T16:48:16.424479,sa_INF134_run_20.csv
SA,INF134,21,33.68333333333333,35,100.0,0.0933382511138916,2026-02-16T16:48:16.424852,2026-02-16T16:48:16.518192,sa_INF134_run_21.csv
SA,INF134,22,33.050000000000004,35,100.0,0.07921409606933594,2026-02-16T16:48:16.518539,2026-02-16T16:48:16.597755,sa_INF134_run_22.csv
SA,INF134,23,33.769999999999996,35,100.0,0.08966207504272461,2026-02-16T16:48:16.598153,2026-02-16T16:48:16.687817,sa_INF134_run_23.csv
SA,INF134,24,31.966666666666665,35,100.0,0.06755971908569336,2026-02-16T16:48:16.688206,2026-02-16T16:48:16.755767,sa_INF134_run_24.csv
SA,INF134,25,33.10000000000001,35,100.0,0.093231201171875,2026-02-16T16:48:16.756123,2026-02-16T16:48:16.849356,sa_INF134_run_25.csv
SA,INF134,26,33.050000000000004,35,100.0,0.07822084426879883,2026-02-16T16:48:16.849732,2026-02-16T16:48:16.927954,sa_INF134_run_26.csv
SA,INF134,27,33.5,35,100.0,0.09223127365112305,2026-02-16T16:48:16.928369,2026-02-16T16:48:17.020602,sa_INF134_run_27.csv
SA,INF134,28,33.01666666666667,35,100.0,0.09371423721313477,2026-02-16T16:48:17.020966,2026-02-16T16:48:17.114681,sa_INF134_run_28.csv
SA,INF134,29,32.00000000000001,35,100.0,0.0910940170288086,2026-02-16T16:48:17.115066,2026-02-16T16:48:17.206161,sa_INF134_run_29.csv
SA,INF134,30,33.50000000000001,35,100.0,0.09299015998840332,2026-02-16T16:48:17.206525,2026-02-16T16:48:17.299515,sa_INF134_run_30.csv
SA,INF134,31,33.03333333333334,35,100.0,0.0870671272277832,2026-02-16T16:48:17.299816,2026-02-16T16:48:17.386884,sa_INF134_run_31.csv
SA,INF134,32,32.28333333333334,35,100.0,0.09642982482910156,2026-02-16T16:48:17.387234,2026-02-16T16:48:17.483664,sa_INF134_run_32.csv
