algorithm,subject,run_id,fitness_value,students_attending,percentage,execution_time,start_time,end_time,solution_file
SA,INF134,1,33.68333333333333,35,100.0,0.17896389961242676,2026-02-16T16:39:13.746346,2026-02-16T16:39:13.925295,sa_INF134_run_01.csv
SA,INF134,2,31.753333333333337,34,97.14285714285714,0.1065831184387207,2026-02-16T16:39:13.925769,2026-02-16T16:39:14.032353,sa_INF134_run_02.csv
SA,INF134,3,31.59,35,100.0,0.09668087959289551,2026-02-16T16:39:14.032718,2026-02-16T16:39:14.129401,sa_INF134_run_03.csv
SA,INF134,4,33.333333333333336,35,100.0,0.1068732738494873,2026-02-16T16:39:14.129835,2026-02-16T16:39:14.236710,sa_INF134_run_04.csv
SA,INF134,5,32.873333333333335,35,100.0,0.09169673919677734,2026-02-16T16:39:14.237121,2026-02-16T16:39:14.328819,sa_INF134_run_05.csv
SA,INF134,6,33.2,34,97.14285714285714,0.07854700088500977,2026-02-16T16:39:14.329130,2026-02-16T16:39:14.407678,sa_INF134_run_06.csv
SA,INF134,7,31.333333333333332,35,100.0,0.09158611297607422,2026-02-16T16:39:14.408054,2026-02-16T16:39:14.499641,sa_INF134_run_07.csv
SA,INF134,8,31.700000000000003,35,100.0,0.07763504981994629,2026-02-16T16:39:14.500875,2026-02-16T16:39:14.578510,sa_INF134_run_08.csv
SA,INF134,9,32.333333333333336,35,100.0,0.10593581199645996,2026-02-16T16:39:14.578892,2026-02-16T16:39:14.684830,sa_INF134_run_09.csv
SA,INF134,10,32.49333333333334,35,100.0,0.09857392311096191,2026-02-16T16:39:14.685215,2026-02-16T16:39:14.783789,sa_INF134_run_10.csv
SA,INF134,11,31.683333333333334,35,100.0,0.08318686485290527,2026-02-16T16:39:14.784152,2026-02-16T16:39:14.867340,sa_INF134_run_11.csv
SA,INF134,12,32.82333333333334,34,97.14285714285714,0.09353399276733398,2026-02-16T16:39:14.867807,2026-02-16T16:39:14.961342,sa_INF134_run_12.csv
SA,INF134,13,33.03333333333334,35,100.0,0.09640908241271973,2026-02-16T16:39:14.961727,2026-02-16T16:39:15.058137,sa_INF134_run_13.csv
SA,INF134,14,32.00000000000001,35,100.0,0.09015011787414551,2026-02-16T16:39:15.058493,2026-02-16T16:39:15.148644,sa_INF134_run_14.csv
SA,INF134,15,32.7,35,100.0,0.14145803451538086,2026-02-16T16:39:15.148984,2026-02-16T16:39:15.290443,sa_INF134_run_15.csv
SA,INF134,16,33.00000000000001,35,100.0,0.09511590003967285,2026-02-16T16:39:15.290805,2026-02-16T16:39:15.385923,sa_INF134_run_16.csv
SA,INF134,17,32.38666666666667,35,100.0,0.1038048267364502,2026-02-16T16:39:15.386335,2026-02-16T16:39:15.490140,sa_INF134_run_17.csv
SA,INF134,18,33.03333333333334,35,100.0,0.07936692237854004,2026-02-16T16:39:15.490522,2026-02-16T16:39:15.569884,sa_INF134_run_18.csv
SA,INF134,19,33.333333333333336,35,100.0,0.09688901901245117,2026-02-16T16:39:15.570282,2026-02-16T16:39:15.667171,sa_INF134_run_19.csv
SA,INF134,20,31.376666666666665,35,100.0,0.09999632835388184,2026-02-16T16:39:15.667633,2026-02-16T16:39:15.767630,sa_INF134_run_20.csv
