config_id,initial_temp,final_temp,alpha,max_iter,time,final_fitness,validity
cfg_062,100.0,0.01,0.98,10000,0.7,17.333333333333336,True
cfg_063,100.0,0.01,0.98,50000,0.79,17.333333333333336,True
cfg_064,100.0,0.01,0.98,100000,0.67,17.333333333333336,True
cfg_065,100.0,0.01,0.98,250000,0.75,17.333333333333336,True
cfg_066,100.0,0.01,0.99,5000,1.46,17.333333333333336,True
cfg_067,100.0,0.01,0.99,10000,1.31,17.333333333333336,True
cfg_068,100.0,0.01,0.99,50000,1.44,17.333333333333336,True
cfg_069,100.0,0.01,0.99,100000,1.45,17.333333333333336,True
cfg_070,100.0,0.01,0.99,250000,1.6,17.333333333333336,True
cfg_071,100.0,0.01,0.995,5000,2.84,17.333333333333336,True
cfg_072,100.0,0.01,0.995,10000,2.99,17.333333333333336,True
cfg_073,100.0,0.01,0.995,50000,2.8,17.333333333333336,True
cfg_074,100.0,0.01,0.995,100000,2.75,17.333333333333336,True
cfg_075,100.0,0.01,0.995,250000,2.83,17.333333333333336,True
cfg_076,100.0,0.01,0.999,5000,8.16,17.333333333333336,True
cfg_077,100.0,0.01,0.999,10000,13.47,17.333333333333336,True
cfg_078,100.0,0.01,0.999,50000,13.8,17.333333333333336,True
cfg_079,100.0,0.01,0.999,100000,15.0,17.333333333333336,True
cfg_080,100.0,0.01,0.999,250000,13.72,17.333333333333336,True
cfg_081,100.0,0.1,0.9,5000,0.1,17.333333333333336,True
cfg_082,100.0,0.1,0.9,10000,0.1,15.000000000000002,True
cfg_083,100.0,0.1,0.9,50000,0.09,17.333333333333336,True
cfg_084,100.0,0.1,0.9,100000,0.12,15.833333333333334,True
cfg_085,100.0,0.1,0.9,250000,0.11,15.833333333333334,True
cfg_086,100.0,0.1,0.93,5000,0.14,15.833333333333334,True
cfg_087,100.0,0.1,0.93,10000,0.15,15.833333333333334,True
cfg_088,100.0,0.1,0.93,50000,0.18,15.833333333333334,True
cfg_089,100.0,0.1,0.93,100000,0.28,17.333333333333336,True
cfg_090,100.0,0.1,0.93,250000,0.25,17.333333333333336,True
cfg_091,100.0,0.1,0.95,5000,0.24,17.333333333333336,True
cfg_092,100.0,0.1,0.95,10000,0.24,15.833333333333334,True
cfg_093,100.0,0.1,0.95,50000,0.23,15.833333333333334,True
cfg_094,100.0,0.1,0.95,100000,0.23,17.333333333333336,True
cfg_095,100.0,0.1,0.95,250000,0.19,17.333333333333336,True
cfg_096,100.0,0.1,0.97,5000,0.35,17.333333333333336,True
cfg_097,100.0,0.1,0.97,10000,0.44,17.333333333333336,True
cfg_098,100.0,0.1,0.97,50000,0.33,17.333333333333336,True
cfg_099,100.0,0.1,0.97,100000,0.38,17.333333333333336,True
cfg_100,100.0,0.1,0.97,250000,0.37,17.333333333333336,True
cfg_101,100.0,0.1,0.98,5000,0.59,17.333333333333336,True
cfg_102,100.0,0.1,0.98,10000,0.55,17.333333333333336,True
cfg_103,100.0,0.1,0.98,50000,0.58,17.333333333333336,True
cfg_104,100.0,0.1,0.98,100000,0.47,17.333333333333336,True
cfg_105,100.0,0.1,0.98,250000,0.63,17.333333333333336,True
cfg_106,100.0,0.1,0.99,5000,1.1,17.333333333333336,True
cfg_107,100.0,0.1,0.99,10000,1.14,17.333333333333336,True
cfg_108,100.0,0.1,0.99,50000,1.12,17.333333333333336,True
cfg_109,100.0,0.1,0.99,100000,1.19,17.333333333333336,True
cfg_110,100.0,0.1,0.99,250000,1.05,17.333333333333336,True
cfg_111,100.0,0.1,0.995,5000,2.23,17.333333333333336,True
cfg_112,100.0,0.1,0.995,10000,2.45,17.333333333333336,True
cfg_113,100.0,0.1,0.995,50000,2.1,17.333333333333336,True
cfg_114,100.0,0.1,0.995,100000,2.2,17.333333333333336,True
cfg_115,100.0,0.1,0.995,250000,2.17,17.333333333333336,True
cfg_116,100.0,0.1,0.999,5000,8.24,17.333333333333336,True
cfg_117,100.0,0.1,0.999,10000,10.48,17.333333333333336,True
cfg_118,100.0,0.1,0.999,50000,10.95,17.333333333333336,True
cfg_119,100.0,0.1,0.999,100000,10.52,17.333333333333336,True
cfg_120,100.0,0.1,0.999,250000,10.67,17.333333333333336,True
cfg_121,100.0,1.0,0.9,5000,0.07,15.833333333333334,True
cfg_122,100.0,1.0,0.9,10000,0.09,15.833333333333334,True
cfg_123,100.0,1.0,0.9,50000,0.08,14.333333333333334,True
cfg_124,100.0,1.0,0.9,100000,0.1,15.000000000000002,True
cfg_125,100.0,1.0,0.9,250000,0.06,15.000000000000002,True
cfg_126,100.0,1.0,0.93,5000,0.12,15.833333333333334,True
cfg_127,100.0,1.0,0.93,10000,0.09,15.166666666666666,True
cfg_128,100.0,1.0,0.93,50000,0.11,17.333333333333336,True
cfg_129,100.0,1.0,0.93,100000,0.12,15.833333333333334,True
cfg_130,100.0,1.0,0.93,250000,0.12,15.833333333333334,True
cfg_131,100.0,1.0,0.95,5000,0.16,17.333333333333336,True
cfg_132,100.0,1.0,0.95,10000,0.17,17.333333333333336,True
cfg_133,100.0,1.0,0.95,50000,0.14,17.333333333333336,True
cfg_134,100.0,1.0,0.95,100000,0.16,15.833333333333334,True
cfg_135,100.0,1.0,0.95,250000,0.15,15.833333333333334,True
cfg_136,100.0,1.0,0.97,5000,0.27,17.333333333333336,True
cfg_137,100.0,1.0,0.97,10000,0.24,17.333333333333336,True
cfg_138,100.0,1.0,0.97,50000,0.24,17.333333333333336,True
cfg_139,100.0,1.0,0.97,100000,0.26,17.333333333333336,True
