config_id,initial_temp,final_temp,alpha,max_iter,time,final_fitness,validity
cfg_132,100.0,1.0,0.95,10000,0.14,15.833333333333334,True
cfg_133,100.0,1.0,0.95,50000,0.16,17.333333333333332,True
cfg_134,100.0,1.0,0.95,100000,0.14,17.333333333333332,True
cfg_135,100.0,1.0,0.95,250000,0.15,17.333333333333332,True
cfg_136,100.0,1.0,0.97,5000,0.25,15.833333333333334,True
cfg_137,100.0,1.0,0.97,10000,0.24,17.333333333333332,True
cfg_138,100.0,1.0,0.97,50000,0.24,17.333333333333332,True
cfg_139,100.0,1.0,0.97,100000,0.26,17.333333333333332,True
cfg_140,100.0,1.0,0.97,250000,0.26,17.333333333333332,True
cfg_141,100.0,1.0,0.98,5000,0.35,17.333333333333332,True
cfg_142,100.0,1.0,0.98,10000,0.36,17.333333333333332,True
cfg_143,100.0,1.0,0.98,50000,0.35,17.333333333333332,True
cfg_144,100.0,1.0,0.98,100000,0.38,17.333333333333332,True
cfg_145,100.0,1.0,0.98,250000,0.38,17.333333333333332,True
cfg_146,100.0,1.0,0.99,5000,0.74,17.333333333333332,True
cfg_147,100.0,1.0,0.99,10000,0.74,17.333333333333332,True
cfg_148,100.0,1.0,0.99,50000,0.68,17.333333333333332,True
cfg_149,100.0,1.0,0.99,100000,0.75,17.333333333333332,True
cfg_150,100.0,1.0,0.99,250000,0.68,17.333333333333332,True
cfg_151,100.0,1.0,0.995,5000,1.63,17.333333333333332,True
cfg_152,100.0,1.0,0.995,10000,1.44,17.333333333333332,True
cfg_153,100.0,1.0,0.995,50000,1.5,17.333333333333332,True
cfg_154,100.0,1.0,0.995,100000,1.51,17.333333333333332,True
cfg_155,100.0,1.0,0.995,250000,1.51,17.333333333333332,True
cfg_156,100.0,1.0,0.999,5000,7.32,17.333333333333332,True
cfg_157,100.0,1.0,0.999,10000,7.96,17.333333333333332,True
cfg_158,100.0,1.0,0.999,50000,7.42,17.333333333333332,True
cfg_159,100.0,1.0,0.999,100000,7.36,17.333333333333332,True
cfg_160,100.0,1.0,0.999,250000,7.66,17.333333333333332,True
cfg_161,100.0,10.0,0.9,5000,0.07,10.833333333333332,True
cfg_162,100.0,10.0,0.9,10000,0.04,15.0,True
cfg_163,100.0,10.0,0.9,50000,0.04,15.166666666666668,True
cfg_164,100.0,10.0,0.9,100000,0.05,14.166666666666666,True
cfg_165,100.0,10.0,0.9,250000,0.04,17.333333333333332,True
cfg_166,100.0,10.0,0.93,5000,0.06,15.833333333333334,True
cfg_167,100.0,10.0,0.93,10000,0.07,17.333333333333332,True
cfg_168,100.0,10.0,0.93,50000,0.05,17.333333333333332,True
cfg_169,100.0,10.0,0.93,100000,0.06,15.166666666666668,True
cfg_170,100.0,10.0,0.93,250000,0.04,17.333333333333332,True
cfg_171,100.0,10.0,0.95,5000,0.08,15.833333333333334,True
cfg_172,100.0,10.0,0.95,10000,0.1,15.166666666666668,True
cfg_173,100.0,10.0,0.95,50000,0.07,17.333333333333332,True
cfg_174,100.0,10.0,0.95,100000,0.08,14.333333333333334,True
cfg_175,100.0,10.0,0.95,250000,0.08,15.0,True
cfg_176,100.0,10.0,0.97,5000,0.14,15.833333333333334,True
cfg_177,100.0,10.0,0.97,10000,0.15,17.333333333333332,True
cfg_178,100.0,10.0,0.97,50000,0.13,15.833333333333334,True
cfg_179,100.0,10.0,0.97,100000,0.14,17.333333333333332,True
cfg_180,100.0,10.0,0.97,250000,0.13,17.333333333333332,True
cfg_181,100.0,10.0,0.98,5000,0.19,17.333333333333332,True
cfg_182,100.0,10.0,0.98,10000,0.2,17.333333333333332,True
cfg_183,100.0,10.0,0.98,50000,0.21,17.333333333333332,True
cfg_184,100.0,10.0,0.98,100000,0.2,17.333333333333332,True
cfg_185,100.0,10.0,0.98,250000,0.21,15.833333333333334,True
cfg_186,100.0,10.0,0.99,5000,0.44,17.333333333333332,True
cfg_187,100.0,10.0,0.99,10000,0.41,17.333333333333332,True
cfg_188,100.0,10.0,0.99,50000,0.4,17.333333333333332,True
cfg_189,100.0,10.0,0.99,100000,0.4,17.333333333333332,True
cfg_190,100.0,10.0,0.99,250000,0.39,15.833333333333334,True
cfg_191,100.0,10.0,0.995,5000,0.86,17.333333333333332,True
cfg_192,100.0,10.0,0.995,10000,0.78,17.333333333333332,True
cfg_193,100.0,10.0,0.995,50000,0.78,17.333333333333332,True
cfg_194,100.0,10.0,0.995,100000,0.8,17.333333333333332,True
cfg_195,100.0,10.0,0.995,250000,0.8,17.333333333333332,True
cfg_196,100.0,10.0,0.999,5000,4.03,17.333333333333332,True
cfg_197,100.0,10.0,0.999,10000,3.93,17.333333333333332,True
cfg_198,100.0,10.0,0.999,50000,4.35,17.333333333333332,True
cfg_199,100.0,10.0,0.999,100000,4.07,17.333333333333332,True
cfg_200,100.0,10.0,0.999,250000,4.44,17.333333333333332,True
cfg_201,630.957344480193,0.001,0.9,5000,0.19,17.333333333333332,True
cfg_202,630.957344480193,0.001,0.9,10000,0.24,15.833333333333334,True
cfg_203,630.957344480193,0.001,0.9,50000,0.2,17.333333333333332,True
cfg_204,630.957344480193,0.001,0.9,100000,0.22,15.833333333333334,True
cfg_205,630.957344480193,0.001,0.9,250000,0.2,17.333333333333332,True
cfg_206,630.957344480193,0.001,0.93,5000,0.27,17.333333333333332,True
cfg_207,630.957344480193,0.001,0.93,10000,0.28,17.333333333333332,True
cfg_208,630.957344480193,0.001,0.93,50000,0.29,17.333333333333332,True
cfg_209,630.957344480193,0.001,0.93,100000,0.31,17.333333333333332,True
cfg_210,630.957344480193,0.001,0.93,250000,0.24,17.333333333333332,True
cfg_211,630.957344480193,0.001,0.95,5000,0.4,17.333333333333332,True
cfg_212,630.957344480193,0.001,0.95,10000,0.38,17.333333333333332,True
cfg_213,630.957344480193,0.001,0.95,50000,0.42,17.333333333333332,True
cfg_214,630.957344480193,0.001,0.95,100000,0.47,17.333333333333332,True
cfg_215,630.957344480193,0.001,0.95,250000,0.44,17.333333333333332,True
cfg_216,630.957344480193,0.001,0.97,5000,0.68,17.333333333333332,True
cfg_217,630.957344480193,0.001,0.97,10000,0.65,15.833333333333334,True
cfg_218,630.957344480193,0.001,0.97,50000,0.58,17.333333333333332,True
cfg_219,630.957344480193,0.001,0.97,100000,0.62,17.333333333333332,True
cfg_220,630.957344480193,0.001,0.97,250000,0.66,17.333333333333332,True
cfg_221,630.957344480193,0.001,0.98,5000,0.96,17.333333333333332,True
cfg_222,630.957344480193,0.001,0.98,10000,1.0,17.333333333333332,True
cfg_223,630.957344480193,0.001,0.98,50000,0.96,17.333333333333332,True
cfg_224,630.957344480193,0.001,0.98,100000,1.05,17.333333333333332,True
cfg_225,630.957344480193,0.001,0.98,250000,0.89,17.333333333333332,True
cfg_226,630.957344480193,0.001,0.99,5000,1.97,17.333333333333332,True
cfg_227,630.957344480193,0.001,0.99,10000,2.03,17.333333333333332,True
cfg_228,630.957344480193,0.001,0.99,50000,1.97,17.333333333333332,True
cfg_229,630.957344480193,0.001,0.99,100000,2.06,17.333333333333332,True
cfg_230,630.957344480193,0.001,0.99,250000,2.05,17.333333333333332,True
cfg_231,630.957344480193,0.001,0.995,5000,4.25,17.333333333333332,True
cfg_232,630.957344480193,0.001,0.995,10000,3.92,17.333333333333332,True
cfg_233,630.957344480193,0.001,0.995,50000,4.4,17.333333333333332,True
cfg_234,630.957344480193,0.001,0.995,100000,3.94,17.333333333333332,True
cfg_235,630.957344480193,0.001,0.995,250000,4.43,17.333333333333332,True
cfg_236,630.957344480193,0.001,0.999,5000,8.7,17.333333333333332,True
cfg_237,630.957344480193,0.001,0.999,10000,16.06,17.333333333333332,True
cfg_238,630.957344480193,0.001,0.999,50000,20.93,17.333333333333332,True
cfg_239,630.957344480193,0.001,0.999,100000,20.15,17.333333333333332,True
cfg_240,630.957344480193,0.001,0.999,250000,19.05,17.333333333333332,True
cfg_241,630.957344480193,0.01,0.9,5000,0.19,17.333333333333332,True
cfg_242,630.957344480193,0.01,0.9,10000,0.17,17.333333333333332,True
cfg_243,630.957344480193,0.01,0.9,50000,0.18,17.333333333333332,True
cfg_244,630.957344480193,0.01,0.9,100000,0.17,15.833333333333334,True
cfg_245,630.957344480193,0.01,0.9,250000,0.19,15.833333333333334,True
cfg_246,630.957344480193,0.01,0.93,5000,0.24,17.333333333333332,True
cfg_247,630.957344480193,0.01,0.93,10000,0.26,17.333333333333332,True
cfg_248,630.957344480193,0.01,0.93,50000,0.23,17.333333333333332,True
cfg_249,630.957344480193,0.01,0.93,100000,0.26,17.333333333333332,True
cfg_250,630.957344480193,0.01,0.93,250000,0.17,15.833333333333334,True
cfg_251,630.957344480193,0.01,0.95,5000,0.36,15.833333333333334,True
cfg_252,630.957344480193,0.01,0.95,10000,0.32,17.333333333333332,True
cfg_253,630.957344480193,0.01,0.95,50000,0.32,17.333333333333332,True
cfg_254,630.957344480193,0.01,0.95,100000,0.32,17.333333333333332,True
cfg_255,630.957344480193,0.01,0.95,250000,0.36,17.333333333333332,True
cfg_256,630.957344480193,0.01,0.97,5000,0.58,17.333333333333332,True
cfg_257,630.957344480193,0.01,0.97,10000,0.56,17.333333333333332,True
cfg_258,630.957344480193,0.01,0.97,50000,0.5,17.333333333333332,True
cfg_259,630.957344480193,0.01,0.97,100000,0.57,17.333333333333332,True
cfg_260,630.957344480193,0.01,0.97,250000,0.6,17.333333333333332,True
cfg_261,630.957344480193,0.01,0.98,5000,0.83,17.333333333333332,True
cfg_262,630.957344480193,0.01,0.98,10000,0.9,17.333333333333332,True
cfg_263,630.957344480193,0.01,0.98,50000,0.9,17.333333333333332,True
cfg_264,630.957344480193,0.01,0.98,100000,0.87,17.333333333333332,True
cfg_265,630.957344480193,0.01,0.98,250000,0.83,17.333333333333332,True
cfg_266,630.957344480193,0.01,0.99,5000,1.63,17.333333333333332,True
cfg_267,630.957344480193,0.01,0.99,10000,1.71,17.333333333333332,True
cfg_268,630.957344480193,0.01,0.99,50000,1.58,17.333333333333332,True
cfg_269,630.957344480193,0.01,0.99,100000,1.76,17.333333333333332,True
cfg_270,630.957344480193,0.01,0.99,250000,1.47,17.333333333333332,True
cfg_271,630.957344480193,0.01,0.995,5000,3.38,17.333333333333332,True
cfg_272,630.957344480193,0.01,0.995,10000,3.39,17.333333333333332,True
cfg_273,630.957344480193,0.01,0.995,50000,3.3,17.333333333333332,True
cfg_274,630.957344480193,0.01,0.995,100000,3.25,17.333333333333332,True
cfg_275,630.957344480193,0.01,0.995,250000,3.25,17.333333333333332,True
cfg_276,630.957344480193,0.01,0.999,5000,8.5,17.333333333333332,True
cfg_277,630.957344480193,0.01,0.999,10000,15.19,17.333333333333332,True
cfg_278,630.957344480193,0.01,0.999,50000,16.83,17.333333333333332,True
cfg_279,630.957344480193,0.01,0.999,100000,16.8,17.333333333333332,True
cfg_280,630.957344480193,0.01,0.999,250000,16.6,17.333333333333332,True
