config_id,W_FREE_DAY,W_SLOT,W_WINDSOWS,W_SLOT2,time,final_fitness,total,conflictos,validity
cfg_001,0.0,0.0,0.0,0.0,3.38,53.0,53.0,0.0,True
cfg_002,0.0,0.0,0.0,0.0526315789473684,3.26,53.0,53.0,0.0,True
cfg_003,0.0,0.0,0.0,0.1052631578947368,3.43,53.0,53.0,0.0,True
cfg_004,0.0,0.0,0.0,0.1578947368421052,3.36,53.0,53.0,0.0,True
cfg_005,0.0,0.0,0.0,0.2105263157894736,3.33,53.0,53.0,0.0,True
cfg_006,0.0,0.0,0.0,0.2631578947368421,3.43,53.0,53.0,0.0,True
cfg_007,0.0,0.0,0.0,0.3157894736842105,3.56,53.0,53.0,0.0,True
cfg_008,0.0,0.0,0.0,0.3684210526315789,3.33,53.0,53.0,0.0,True
cfg_009,0.0,0.0,0.0,0.4210526315789473,3.28,53.0,53.0,0.0,True
cfg_010,0.0,0.0,0.0,0.4736842105263157,3.42,53.0,53.0,0.0,True
cfg_011,0.0,0.0,0.0,0.5263157894736842,3.33,53.0,53.0,0.0,True
cfg_012,0.0,0.0,0.0,0.5789473684210527,3.55,53.0,53.0,0.0,True
cfg_013,0.0,0.0,0.0,0.631578947368421,3.55,53.0,53.0,0.0,True
cfg_014,0.0,0.0,0.0,0.6842105263157894,3.61,53.0,53.0,0.0,True
cfg_015,0.0,0.0,0.0,0.7368421052631579,3.59,53.0,53.0,0.0,True
cfg_016,0.0,0.0,0.0,0.7894736842105263,3.71,53.0,53.0,0.0,True
cfg_017,0.0,0.0,0.0,0.8421052631578947,3.44,53.0,53.0,0.0,True
cfg_018,0.0,0.0,0.0,0.894736842105263,3.67,53.0,53.0,0.0,True
cfg_019,0.0,0.0,0.0,0.9473684210526316,3.49,53.0,53.0,0.0,True
cfg_020,0.0,0.0,0.0,1.0,3.65,53.0,53.0,0.0,True
cfg_021,0.0,0.0,0.0526315789473684,0.0,3.14,52.55263157894736,53.0,0.0,True
cfg_022,0.0,0.0,0.0526315789473684,0.0526315789473684,3.51,52.55263157894736,53.0,0.0,True
cfg_023,0.0,0.0,0.0526315789473684,0.1052631578947368,3.23,52.55263157894736,53.0,0.0,True
