config_id,W_FREE_DAY,W_SLOT,W_WINDSOWS,W_SLOT2,time,final_fitness,total,conflictos,validity
cfg_2223,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.14,47.2444444444444,53.0,0.0,True
cfg_2224,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.15,47.2444444444444,53.0,0.0,True
cfg_2225,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.16,45.94074074074076,53.0,1.0,True
cfg_2226,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.18,47.2444444444444,53.0,0.0,True
cfg_2227,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.15,47.2444444444444,53.0,0.0,True
cfg_2228,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.15,47.2444444444444,53.0,0.0,True
cfg_2229,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.14,45.666666666666686,53.0,2.0,True
cfg_2230,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,0.16,47.2444444444444,53.0,0.0,True
cfg_2233,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.14,46.29999999999997,53.0,0.0,True
cfg_2234,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.15,43.66666666666666,53.0,8.0,True
cfg_2235,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.13,44.75555555555556,53.0,1.0,True
cfg_2236,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.14,44.75555555555556,53.0,1.0,True
cfg_2237,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.2,46.29999999999997,53.0,0.0,True
cfg_2238,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.7777777777777777,0.15,46.29999999999997,53.0,0.0,True
cfg_2239,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.8888888888888888,0.12,46.29999999999997,53.0,0.0,True
cfg_2240,0.2222222222222222,0.2222222222222222,0.3333333333333333,1.0,0.16,46.29999999999997,53.0,0.0,True
cfg_2243,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.14,45.35555555555551,53.0,0.0,True
cfg_2244,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.14,45.35555555555551,53.0,0.0,True
cfg_2245,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.15,45.35555555555551,53.0,0.0,True
cfg_2246,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.16,45.35555555555551,53.0,0.0,True
cfg_2247,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.19,40.474074074074046,53.0,0.0,True
cfg_2248,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.7777777777777777,0.15,45.35555555555551,53.0,0.0,True
cfg_2249,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.8888888888888888,0.14,43.57037037037036,53.0,1.0,True
cfg_2250,0.2222222222222222,0.2222222222222222,0.4444444444444444,1.0,0.14,43.22222222222222,53.0,8.0,True
cfg_2253,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.13,42.77777777777778,53.0,8.0,True
cfg_2254,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.13,42.77777777777778,53.0,8.0,True
cfg_2255,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.16,44.41111111111107,53.0,0.0,True
cfg_2256,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.16,44.41111111111107,53.0,0.0,True
cfg_2257,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.13,42.77777777777778,53.0,8.0,True
cfg_2258,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.7777777777777777,0.15,42.77777777777778,53.0,8.0,True
cfg_2259,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.8888888888888888,0.18,44.41111111111107,53.0,0.0,True
cfg_2260,0.2222222222222222,0.2222222222222222,0.5555555555555556,1.0,0.14,42.385185185185165,53.0,1.0,True
cfg_2263,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.13,42.33333333333333,53.0,8.0,True
cfg_2264,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.14,43.46666666666663,53.0,0.0,True
cfg_2265,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.16,42.33333333333333,53.0,8.0,True
cfg_2266,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.5555555555555556,0.17,41.19999999999998,53.0,1.0,True
cfg_2267,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.15,43.46666666666663,53.0,0.0,True
cfg_2268,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.7777777777777777,0.13,43.46666666666663,53.0,0.0,True
cfg_2269,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.8888888888888888,0.15,43.46666666666663,53.0,0.0,True
cfg_2270,0.2222222222222222,0.2222222222222222,0.6666666666666666,1.0,0.17,43.46666666666663,53.0,0.0,True
cfg_2273,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.2222222222222222,0.14,41.8888888888889,53.0,8.0,True
cfg_2274,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.3333333333333333,0.21,42.5222222222222,53.0,0.0,True
cfg_2275,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.4444444444444444,0.16,42.5222222222222,53.0,0.0,True
cfg_2276,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.5555555555555556,0.14,42.5222222222222,53.0,0.0,True
cfg_2277,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.6666666666666666,0.14,42.5222222222222,53.0,0.0,True
cfg_2278,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.7777777777777777,0.14,41.8888888888889,53.0,8.0,True
cfg_2279,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.8888888888888888,0.14,41.8888888888889,53.0,8.0,True
cfg_2280,0.2222222222222222,0.2222222222222222,0.7777777777777777,1.0,0.15,42.5222222222222,53.0,0.0,True
cfg_2283,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.2222222222222222,0.14,38.407407407407405,53.0,12.0,True
cfg_2284,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.3333333333333333,0.14,41.44444444444444,53.0,8.0,True
cfg_2285,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.4444444444444444,0.15,41.577777777777754,53.0,0.0,True
cfg_2286,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.17,41.577777777777754,53.0,0.0,True
cfg_2287,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.6666666666666666,0.14,41.577777777777754,53.0,0.0,True
cfg_2288,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.7777777777777777,0.15,41.577777777777754,53.0,0.0,True
cfg_2289,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.8888888888888888,0.17,41.577777777777754,53.0,0.0,True
cfg_2290,0.2222222222222222,0.2222222222222222,0.8888888888888888,1.0,0.15,38.82962962962963,53.0,1.0,True
cfg_2293,0.2222222222222222,0.2222222222222222,1.0,0.2222222222222222,0.14,41.00000000000001,53.0,8.0,True
cfg_2294,0.2222222222222222,0.2222222222222222,1.0,0.3333333333333333,0.15,41.00000000000001,53.0,8.0,True
cfg_2295,0.2222222222222222,0.2222222222222222,1.0,0.4444444444444444,0.14,41.00000000000001,53.0,8.0,True
cfg_2296,0.2222222222222222,0.2222222222222222,1.0,0.5555555555555556,0.15,38.111111111111114,53.0,12.0,True
cfg_2297,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,0.18,40.63333333333332,53.0,0.0,True
cfg_2298,0.2222222222222222,0.2222222222222222,1.0,0.7777777777777777,0.15,41.00000000000001,53.0,8.0,True
cfg_2299,0.2222222222222222,0.2222222222222222,1.0,0.8888888888888888,0.13,40.63333333333332,53.0,0.0,True
cfg_2300,0.2222222222222222,0.2222222222222222,1.0,1.0,0.13,41.00000000000001,53.0,8.0,True
cfg_2323,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.16,46.40740740740738,53.0,2.0,True
cfg_2324,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.14,45.8888888888889,53.0,1.0,True
cfg_2325,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.16,45.477777777777746,53.0,0.0,True
cfg_2326,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.13,45.666666666666686,53.0,2.0,True
cfg_2327,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.14,46.40740740740738,53.0,2.0,True
cfg_2328,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.7777777777777777,0.17,45.666666666666686,53.0,2.0,True
cfg_2329,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.17,46.40740740740738,53.0,2.0,True
cfg_2330,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.0,0.14,45.8888888888889,53.0,1.0,True
cfg_2333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.14,43.27777777777779,53.0,1.0,True
cfg_2334,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15,44.5333333333333,53.0,0.0,True
cfg_2335,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.18,44.55555555555557,53.0,2.0,True
cfg_2336,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.16,44.55555555555557,53.0,2.0,True
cfg_2337,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16,44.5333333333333,53.0,0.0,True
cfg_2338,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.7777777777777777,0.14,44.55555555555557,53.0,2.0,True
cfg_2339,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.15,44.5333333333333,53.0,0.0,True
cfg_2340,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.0,0.19,44.55555555555557,53.0,2.0,True
cfg_2343,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.13,43.22222222222222,53.0,8.0,True
cfg_2344,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.15,43.58888888888886,53.0,0.0,True
cfg_2345,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.18,43.58888888888886,53.0,0.0,True
cfg_2346,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.14,43.22222222222222,53.0,8.0,True
cfg_2347,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.14,43.58888888888886,53.0,0.0,True
cfg_2348,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.7777777777777777,0.14,43.22222222222222,53.0,8.0,True
cfg_2349,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.8888888888888888,0.15,40.66666666666664,53.0,1.0,True
cfg_2350,0.2222222222222222,0.3333333333333333,0.4444444444444444,1.0,0.16,43.58888888888886,53.0,0.0,True
cfg_2353,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.21,42.77777777777778,53.0,8.0,True
cfg_2354,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.14,42.77777777777778,53.0,8.0,True
cfg_2355,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.15,40.85185185185185,53.0,2.0,True
cfg_2356,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.18,42.77777777777778,53.0,8.0,True
cfg_2357,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.2,40.85185185185185,53.0,2.0,True
cfg_2358,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.7777777777777777,0.14,42.77777777777778,53.0,8.0,True
cfg_2359,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.13,39.57777777777778,53.0,1.0,True
cfg_2360,0.2222222222222222,0.3333333333333333,0.5555555555555556,1.0,0.15,42.77777777777778,53.0,8.0,True
cfg_2363,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.16,42.33333333333333,53.0,8.0,True
cfg_2364,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.14,41.69999999999997,53.0,0.0,True
cfg_2365,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.14,42.33333333333333,53.0,8.0,True
cfg_2366,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.14,42.33333333333333,53.0,8.0,True
cfg_2367,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.19,42.33333333333333,53.0,8.0,True
cfg_2368,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.7777777777777777,0.14,42.33333333333333,53.0,8.0,True
cfg_2369,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.15,42.33333333333333,53.0,8.0,True
cfg_2370,0.2222222222222222,0.3333333333333333,0.6666666666666666,1.0,0.17,41.69999999999997,53.0,0.0,True
cfg_2373,0.2222222222222222,0.3333333333333333,0.7777777777777777,0.2222222222222222,0.15,40.75555555555552,53.0,0.0,True
cfg_2374,0.2222222222222222,0.3333333333333333,0.7777777777777777,0.3333333333333333,0.17,41.8888888888889,53.0,8.0,True
cfg_2375,0.2222222222222222,0.3333333333333333,0.7777777777777777,0.4444444444444444,0.13,41.8888888888889,53.0,8.0,True
cfg_2376,0.2222222222222222,0.3333333333333333,0.7777777777777777,0.5555555555555556,0.18,41.8888888888889,53.0,8.0,True
